title,description,category,price,tags,active
Rolex Submariner Date 116610LN,"Relógio automático de mergulho, 40mm, aço inoxidável, mostrador preto, data, resistência à água 300m. Movimento automático calibre 3135, certificado cronômetro.",watches,85000,"luxury,sport,automatic",TRUE
Rolex GMT-Master II 116710LN,"Relógio GMT dual timezone, 40mm, aço inoxidável, bezel cerâmica preta, mostrador preto. Movimento automático calibre 3186.",watches,92000,"luxury,sport,automatic",TRUE
Rolex Datejust 41 126300,"Relógio dress clássico, 41mm, aço inoxidável, mostrador prata, pulseira Oyster. Movimento automático calibre 3235.",watches,78000,"luxury,dress,automatic",TRUE
Omega Seamaster 300M,"Relógio de mergulho profissional, 42mm, aço inoxidável, mostrador azul ondulado, resistência 300m. Movimento Co-Axial.",watches,42000,"luxury,sport,automatic",TRUE
Omega Speedmaster Moonwatch,"Relógio cronógrafo icônico, 42mm, aço inoxidável, mostrador preto, movimento manual calibre 1861. Usado na Lua.",watches,38000,"luxury,sport",TRUE
Cartier Tank Solo,"Relógio dress clássico retangular, 31mm, aço inoxidável, mostrador branco, pulseira de couro. Movimento quartzo.",watches,18000,"luxury,dress,quartz",TRUE
Cartier Santos Medium,"Relógio aviador icônico, 35mm, aço inoxidável, mostrador branco, parafusos aparentes. Movimento automático.",watches,32000,"luxury,sport,automatic",TRUE
TAG Heuer Carrera Calibre 16,"Cronógrafo automático, 41mm, aço inoxidável, mostrador preto, taquímetro. Movimento calibre 16.",watches,28000,"luxury,sport,automatic",TRUE
IWC Pilot Mark XVIII,"Relógio de aviador clássico, 40mm, aço inoxidável, mostrador preto, data. Movimento automático calibre 35111.",watches,48000,"luxury,sport,automatic",TRUE
Patek Philippe Calatrava 5196G,"Relógio dress ultra fino, 37mm, ouro branco, mostrador preto, pulseira de couro. Movimento manual calibre 215 PS.",watches,185000,"luxury,dress",TRUE
Audemars Piguet Royal Oak 15400ST,"Relógio esportivo luxuoso, 41mm, aço inoxidável, mostrador azul guilhoché, pulseira integrada. Movimento automático.",watches,165000,"luxury,sport,automatic",TRUE
Hublot Big Bang Classic,"Relógio esportivo moderno, 42mm, aço e borracha, mostrador esqueleto, cronógrafo. Movimento automático.",watches,72000,"luxury,sport,modern,automatic",TRUE
Panerai Luminor Marina,"Relógio de mergulho italiano, 44mm, aço inoxidável, mostrador preto, protetor de coroa. Movimento automático.",watches,58000,"luxury,sport,automatic",TRUE
Breitling Navitimer 01,"Cronógrafo de aviação, 43mm, aço inoxidável, regra de cálculo, mostrador preto. Movimento manufatura.",watches,52000,"luxury,sport,automatic",TRUE
Jaeger-LeCoultre Reverso Classic,"Relógio reversível icônico, 42x26mm, aço inoxidável, mostrador preto, pulseira de couro. Movimento manual.",watches,68000,"luxury,dress,vintage",TRUE
Anel Solitário Diamante 1ct,"Anel solitário em ouro branco 18k com diamante central de 1 quilate, lapidação brilhante, claridade VS1, cor G.",rings,35000,"luxury,diamond,platinum",TRUE
Anel Solitário Diamante 0.5ct,"Anel solitário em ouro amarelo 18k com diamante central de 0.5 quilates, lapidação brilhante, claridade VS2.",rings,18000,"luxury,diamond,gold",TRUE
Anel Aliança Ouro Amarelo 18k,"Aliança de casamento em ouro amarelo 18k, 4mm de largura, acabamento polido.",rings,3500,"gold",TRUE
Anel Meia Aliança Diamantes,"Meia aliança em ouro branco 18k com 7 diamantes, total 0.70ct, lapidação brilhante.",rings,15000,"luxury,diamond,platinum",TRUE
Colar Riviera Diamantes,"Colar riviera em ouro branco 18k com diamantes, total 3ct, 40cm de comprimento.",necklaces,85000,"luxury,diamond,platinum",TRUE
Colar Pérolas Tahiti,"Colar de pérolas negras de Tahiti, 9-11mm, fecho em ouro branco 18k, 45cm.",necklaces,22000,"luxury",TRUE
Colar Corrente Ouro Amarelo,"Corrente veneziana em ouro amarelo 18k, 2mm de largura, 50cm de comprimento.",necklaces,5500,"gold",TRUE
Pulseira Tennis Diamantes,"Pulseira tennis em ouro branco 18k com diamantes, total 5ct, 18cm de comprimento.",bracelets,125000,"luxury,diamond,platinum",TRUE
Pulseira Ouro Amarelo Grossa,"Pulseira articulada em ouro amarelo 18k, 15mm de largura, 19cm de comprimento.",bracelets,12000,"gold",TRUE
Brincos Solitário Diamante 0.5ct,"Par de brincos solitário em ouro branco 18k com diamantes, 0.50ct cada, claridade VS1.",earrings,28000,"luxury,diamond,platinum",TRUE
Brincos Argola Ouro Amarelo,"Par de argolas em ouro amarelo 18k, 30mm de diâmetro, acabamento polido.",earrings,4500,"gold",TRUE
Brincos Pérola Akoya,"Par de brincos com pérolas Akoya, 8-8.5mm, ouro branco 18k, acabamento lustro AAA.",earrings,8500,"luxury",TRUE
